Gender,Male,Minority,Age,GPA,Verbal,Math,TotSAT,SSH.total,BStotal,CTA.tot,PTTtotal,PTT.factor1,PTT.factor2,PTT.factor3,Perf.CM,Perf.D,Perf.PE,Perf.PC,Perf.PS,Perf.O,harvey.negproj,harvey.achexp,harvey.parinf,harvey.org,stoeberORG,stoeberCMD,stoeberPEC,stoeberPS,Harvey4f
2,1,1,21,2.5, , , ,20,14,42, ,25, ,11,25,10,17,10,26,24,32,29,27,24,24,32,27,26,1
1,0,1,20,2.2, , , ,20,20, ,44,27,13,4,31,12,18,13,28,30,39,32,31,30,30,39,31,29,4
2,1,1,21,2.8, , , ,18,23,40,47,25,16,6,27,14,18,10,25,24,37,29,28,24,24,37,28,25,1
2,1,1,22,2.25, , , ,18,30,49,47,26,13,8,22,12,13,10,21,18,32,23,23,18,18,32,23,20,1
2,1,1,21,3.1, , , ,19,17,36,46,22,17,7,33,16,21,16,26,25,46,29,37,25,25,46,37,25,4
2,1,1,21,3,600,600,1200,21, ,45,57,34,17,6,28,10,19,9,25,22,36,27,28,22,22,36,28,24,1
2,1,0,21, , , , ,22,15,49,50,31,13,6,25,16,14,12,27,28,37,31,26,28,28,37,26,27,3
2,1,1,21,3.302,525,600,1125,32,34,61,59,34,5,20,42,19,22,15,31,30,56,36,37,30,30,56,37,32,4
2,1,1,21,3.124, , , ,20,19,36,40,20,13,7,20,12,18,7,21,24,30,23,25,24,24,30,25,19,1
2,1,1,20,3.3, , , ,31,10,17,35,23,7,5,9,4,7,4,22,23,12,23,11,23,23,12,11,18,2
2,1,0,20,2.5,400,450,850,21,19,43,48,30,13,5,28,13,13,10,25,29,37,29,23,29,29,37,23,24,3
1,0,1,23,2.7, , , ,16,25,67,58,33,13,12,41,18,19,13,30,29,54,35,32,29,29,54,32,33,4
1,0,1,21,2.5, , , ,22,12,31,42,25,12,5,19,13,15,8,27,24,28,31,23,24,24,28,23,27,3
2,1,1,20,2.5, , , ,23,12,24,42,28,10,4,27,8,17,12,28,18,31,32,29,18,18,31,29,28,1
1,0,1,20,2.89, , , ,29,10,22,39,25,10,4,25,11,17,11,27,30,32,31,28,30,30,32,28,27,3
2,1,1,21,2.38, , , ,20,36,57,44,24,12,8,41,17,23,18,33,23,53,38,41,23,23,53,41,33,4
2,1,1,20,2.9, , , ,22,11,28,42,24,6,12,29,10,15,9,33,25,34,38,24,25,25,34,24,34,3
2,1,0,22,2.8, , , ,28, ,28, ,24, , ,22,11,14,9,19,17,32,20,23,17,17,32,23,17,1
2,1,1,21,2.8, , , ,17,29,53,42,25,9,8,28,12,16,9,26,28,37,29,25,28,28,37,25,25,3
2,1,1,20,2.2, , , ,16, ,40,48,24,17,7,24,11,16,9,18,16,32,21,25,16,16,32,25,18,1
1,0,1,21,2.5, , , ,23,20, , , ,17,8,25,9,16,9,23,30,31,26,25,30,30,31,25,22,3
1,0,1,31, , , , ,29,11,22,34,21,8,5,17,5,13,7,26,26,18,30,20,26,26,18,20,26,2
1,0,1,21,2.04, , , ,24,20,49,32,17,10,5,21,9,13,9,20,22,28,22,22,22,22,28,22,18,2
2,1,1,37,2.3,540,500,1140,23,31, ,62,34,8,20,42,7,17,6,35,30,44,40,23,30,30,44,23,35,4
2,1,1,21,3.325, , , ,21,20,33,51,29,14,8,28,15,20,18,28,23,39,32,38,23,23,39,38,28,4
2,1,1,20,3, , , ,26,11,26,47,23,17,7,24,12,16,9,24,24,33,27,25,24,24,33,25,23,1
2,1,1,23,2.5, , , ,23,14,43,39,25,8,6,18,12,9,5,21,29,27,24,14,29,29,27,14,20,2
1,0,1,19,3.95, , , ,29,10,29,54,39,10,5,18,7,10,7,35,27,21,39,17,27,27,21,17,34,3
2,1,1,26,2.1, , , ,25,12,43,58,31,16,11,26,14,10,8,20,17,36,24,18,17,17,36,18,21,1
2,1,1,22,3.3, , , ,18,12,29,50,28,14,8,24,13,17,10,23,22,33,27,27,22,22,33,27,24,1
1,0,1,21,3.6, , , ,22,23,36,59,34,18,7,30,15,15,8,30,28,41,34,23,28,28,41,23,29,4
1,0,0,25, , , , ,28,12,27,39,20,13,6,32,15,18,11,25,24,43,29,29,24,24,43,29,26,4
2,1,1,20,3.4, , , ,15,13, ,50,29,15,6,26,10,14,5,23,18,32,27,19,18,18,32,19,23,1
2,1,1,20,2.95, , , ,13,31,48,69,39,21,9,42,14,24,18,33,14,51,38,42,14,14,51,42,34,4
1,0,1,44,3.6, , , ,26,12,26,50,29,13,8,13,8,13,7,20,22,17,24,20,22,22,17,20,19,2
1,0,1, , , , , ,26, ,50,53,27,16,10,29,12,10,6,22,22,38,25,16,22,22,38,16,21,1
2,1,1,22,3.6, , , ,18,15,35,58,32,18,8,27,10,16,8,26,17,33,30,24,17,17,33,24,26,1
1,0,1,20,3.912, , , ,27,28,51,62,40,14,8,33,14,17,6,35,30,42,40,23,30,30,42,23,35,4
1,0,1,18,2.2, , , ,21,10,44,66,38,15,13,12,6,10,4,19,20,16,21,14,20,20,16,14,17,2
1,0,1,18, , , , ,28,33,47,66,40,17,9,45,16,21,12,34,25,56,39,33,25,25,56,33,35,4
1,0,1,22,2.6, , , ,24,11,31,59,35,13,11,16,6,16,6,25,30,21,26,22,30,30,21,22,22,2
2,1,1,21,2.866, , , ,23,11,24,45,24,14,7,24,11,17,11,24,17,30,29,28,17,17,30,28,25,1
2,1,1,21,2.89, , , ,20,14,21,51,26,15,10,32,12,17,16,20,19,41,23,33,19,19,41,33,21,4
1,0,1,19,2.8, , , ,23,22,52,51,32,13,6,25,10,18,9,29,28,31,33,27,28,28,31,27,29,3
1,0,1, ,2.5, , , ,23,22,50,70,37,21,12,34,17,25,20,28,22,48,31,45,22,22,48,45,28,4
1,0,0,23,3.6, , , ,17,23,38,54,31,15,8, ,14,23,18,18,24, ,20,41,24,24, ,41,17, 
1,0,1,21,3.1, , , ,24,10, ,49,27,16,6,15,7,13,4,25,6,18,29,17,6,6,18,17,28,2
1,0,1,20,3.8, , , ,16,13,37,57,29,20,8,29,14,18,10,32,30,39,36,28,30,30,39,28,33,4
1,0,1,21,3.7,710,700,1400,28,10, ,38,21,10,7,20,8,22,12,29,25,26,31,34,25,25,26,34,27,1
1,0,1,20,3.7,590,670,1260,15,10,25,58,32,14,12,35,5,14,5,23,6,36,27,19,6,6,36,19,23,1
2,1,1,20,3.23,510,500,1010,21,36,51,58,27,20,11,27,19,18,14,33,30,41,38,32,30,30,41,32,33,4
2,1,1,22,2.8, , , ,20,13,33,42,19,16,7,16,15,15,11,21,25,28,24,26,25,25,28,26,21,1
1,0,0,20,3.2, , , ,15,10,23,36,15,13,8,15,12,15,5,16,23,25,18,20,23,23,25,20,16,2
1,0,1,20,3.33, , , ,27,18,36,43,29,10,4,19,5,21,8,33,30,22,35,29,30,30,22,29,30,3
1,0,1,29,3.8,470,470,940,28,10,19,38,20,13,5,13,9,14,8,17,20,20,19,22,20,20,20,22,15,2
2,1,1,31,4, , , ,31,10,19,27,14,9,4,13,8,11,8,20,27,19,22,19,27,27,19,19,17,2
1,0,1,20,3.59, , , ,22,20,41,53,29,16,8,24,11,15,9,24,24,32,27,24,24,24,32,24,23,1
1,0,1,19,3.228,510,530,1040,27,16,31,45,28,11,6,20,8,16,6,30,27,25,33,22,27,27,25,22,28,3
2,1,1,24,3.7, , , ,31,11,22,44,34,6,4,13,7,9,4,24,30,19,25,13,30,30,19,13,20,2
1,0,1,21,3.85, , , ,14,34,49,64,30,23,11,23,14,12,7,22,12,35,24,19,12,12,35,19,20,1
1,0,1,20,3.4,550,550,1100,27,19,35,57,36,14,7,31,14,18,11,31,29,41,35,29,29,29,41,29,30,4
1,0,1,20,3.1,650,550,1300,19,18,47,48,22,18,8,30,12,11,6,27,13,37,32,17,13,13,37,17,28,1
1,0,1,18,3.3, , , ,23,11,33,50,23,16,11,16,8,11,4,22,27,21,25,15,27,27,21,15,22,2
2,1,0,22, , , , ,26,10,17,49,30,13,6,35,11,15,15,26,24,42,30,30,24,24,42,30,26,4
1,0,1,21,2.971, , , ,19,20,45,55,27,16,12,21,9,8,4,13,18,28,15,12,18,18,28,12,13,2
1,0,1,45,3, , , ,23,11,27,47,26,14,7,19,11,15,8,17,23,27,20,23,23,23,27,23,17,2
1,0,1,27,2.9, , , ,27,11,26,45,26,14,5,18,8,14,8,23,22,24,25,22,22,22,24,22,21,2
1,0,1,19,3.2, , , ,30,13,32,39,25,10,4,27,9,17,9, ,25,31, ,26,25,25,31,26, , 
